"V1","V2","V3"
0,0.05,0.95
0.025,0.075,0.9
0.05,0.1,0.85
0.075,0.125,0.8
0.1,0.15,0.75
0.125,0.175,0.7
0.15,0.2,0.65
0.175,0.225,0.6
0.2,0.25,0.55
0.225,0.275,0.5
0,0.01,0.99
0.0122222222222222,0.205555555555555,0.782222222222222
0.0488888888888889,0.352222222222222,0.598888888888889
0.11,0.45,0.44
0.195555555555556,0.498888888888889,0.305555555555556
0.305555555555556,0.498888888888889,0.195555555555556
0.44,0.45,0.11
0.598888888888889,0.352222222222222,0.0488888888888889
0.782222222222222,0.205555555555555,0.0122222222222222
0.99,0.0099999999999999,0
0,0.85,0.15
0.0375,0.825,0.1375
0.075,0.8,0.125
0.1125,0.775,0.1125
0.15,0.75,0.1
0.1875,0.725,0.0875
0.225,0.7,0.075
0.2625,0.675,0.0625
0.3,0.65,0.05
0.3375,0.625,0.0375
