"V1","V2","V3"
"0",0.05,0.95
"0.025",0.075,0.9
"0.05",0.1,0.85
"0.075",0.125,0.8
"0.1",0.15,0.75
"0.125",0.175,0.7
"0.15",0.2,0.65
"0.175",0.225,0.6
"0.2",0.25,0.55
"0",0.01,0.99
"0.01546875",0.2265625,0.75796875
"0.061875",0.38125,0.556875
"0.13921875",0.4740625,0.38671875
"0.2475",0.505,0.2475
"0.38671875",0.4740625,0.13921875
"0.556875",0.38125,0.061875
"0.75796875",0.2265625,0.01546875
"0.99",0.01,0
"0",0.85,0.15
"0.0375",0.825,0.1375
"0.075",0.8,0.125
"0.1125",0.775,0.1125
"0.15",0.75,0.1
"0.1875",0.725,0.0875
"0.225",0.7,0.075
"0.2625",0.675,0.0625
"0.3",0.65,0.05
