"","Num1","Palo1","Num2","Palo2","Pasar","Ver","Subir"
"1",2,1,3,1,0.0375,0.825,0.1375
"2",2,1,4,1,0,0.85,0.15
"3",2,1,5,1,0,0.85,0.15
"4",2,1,6,1,0,0.85,0.15
"5",2,1,7,1,0,0.85,0.15
"6",2,1,8,1,0,0.85,0.15
"7",2,1,9,1,0.0375,0.825,0.1375
"8",2,1,10,1,0,0,0
"9",2,1,11,1,0,0,0
"10",2,1,12,1,0,0,0
"11",2,1,13,1,0,0.85,0.15
"12",2,1,14,1,0,0.85,0.15
"13",2,1,2,2,0.0375,0.825,0.1375
"14",2,1,3,2,0,0,0
"15",2,1,4,2,0,0,0
"16",2,1,5,2,0,0.85,0.15
"17",2,1,6,2,0,0.85,0.15
"18",2,1,7,2,0,0,0
"19",2,1,8,2,0,0,0
"20",2,1,9,2,0.0375,0.825,0.1375
"21",2,1,10,2,0,0,0
"22",2,1,11,2,0,0,0
"23",2,1,12,2,0,0.85,0.15
"24",2,1,13,2,0,0.85,0.15
"25",2,1,14,2,0,0,0
"26",2,1,2,3,0,0,0
"27",2,1,3,3,0.0375,0.825,0.1375
"28",2,1,4,3,0,0.85,0.15
"29",2,1,5,3,0,0.85,0.15
"30",2,1,6,3,0,0.85,0.15
"31",2,1,7,3,0,0.85,0.15
"32",2,1,8,3,0,0.85,0.15
"33",2,1,9,3,0.0375,0.825,0.1375
"34",2,1,10,3,0,0.85,0.15
"35",2,1,11,3,0.0375,0.825,0.1375
"36",2,1,12,3,0,0.85,0.15
"37",2,1,13,3,0,0.85,0.15
"38",2,1,14,3,0,0.85,0.15
"39",2,1,2,4,0.0375,0.825,0.1375
"40",2,1,3,4,0,0,0
"41",2,1,4,4,0,0,0
"42",2,1,5,4,0,0.85,0.15
"43",2,1,6,4,0,0.85,0.15
"44",2,1,7,4,0,0.85,0.15
"45",2,1,8,4,0,0.85,0.15
"46",2,1,9,4,0,0,0
"47",2,1,10,4,0,0.85,0.15
"48",2,1,11,4,0,0,0
"49",2,1,12,4,0,0,0
"50",2,1,13,4,0,0,0
"51",2,1,14,4,0,0.85,0.15
"52",3,1,4,1,0.0375,0.825,0.1375
"53",3,1,5,1,0.0375,0.825,0.1375
"54",3,1,6,1,0.0375,0.825,0.1375
"55",3,1,7,1,0.0375,0.825,0.1375
"56",3,1,8,1,0.0375,0.825,0.1375
"57",3,1,9,1,0.075,0.8,0.125
"58",3,1,10,1,0,0,0
"59",3,1,11,1,0,0,0
"60",3,1,12,1,0,0,0
"61",3,1,13,1,0.0375,0.825,0.1375
"62",3,1,14,1,0.0375,0.825,0.1375
"63",3,1,2,2,0.0375,0.825,0.1375
"64",3,1,3,2,0,0,0
"65",3,1,4,2,0,0,0
"66",3,1,5,2,0.0375,0.825,0.1375
"67",3,1,6,2,0.0375,0.825,0.1375
"68",3,1,7,2,0,0,0
"69",3,1,8,2,0,0,0
"70",3,1,9,2,0.075,0.8,0.125
"71",3,1,10,2,0,0,0
"72",3,1,11,2,0,0,0
"73",3,1,12,2,0.0375,0.825,0.1375
"74",3,1,13,2,0.0375,0.825,0.1375
"75",3,1,14,2,0,0,0
"76",3,1,2,3,0,0,0
"77",3,1,3,3,0.1125,0.775,0.1125
"78",3,1,4,3,0.0375,0.825,0.1375
"79",3,1,5,3,0.0375,0.825,0.1375
"80",3,1,6,3,0.0375,0.825,0.1375
"81",3,1,7,3,0.0375,0.825,0.1375
"82",3,1,8,3,0.0375,0.825,0.1375
"83",3,1,9,3,0.075,0.8,0.125
"84",3,1,10,3,0.0375,0.825,0.1375
"85",3,1,11,3,0.075,0.8,0.125
"86",3,1,12,3,0.0375,0.825,0.1375
"87",3,1,13,3,0.0375,0.825,0.1375
"88",3,1,14,3,0.0375,0.825,0.1375
"89",3,1,2,4,0.0375,0.825,0.1375
"90",3,1,3,4,0,0,0
"91",3,1,4,4,0,0,0
"92",3,1,5,4,0.0375,0.825,0.1375
"93",3,1,6,4,0.0375,0.825,0.1375
"94",3,1,7,4,0.0375,0.825,0.1375
"95",3,1,8,4,0.0375,0.825,0.1375
"96",3,1,9,4,0,0,0
"97",3,1,10,4,0.0375,0.825,0.1375
"98",3,1,11,4,0,0,0
"99",3,1,12,4,0,0,0
"100",3,1,13,4,0,0,0
"101",3,1,14,4,0.0375,0.825,0.1375
"102",4,1,5,1,0,0.85,0.15
"103",4,1,6,1,0,0.85,0.15
